Place,Viewpoint,Entry Ticket (₹),Hotel Name,Budget Category,Hotel Cost Per Night (₹),Restaurant Name,Avg Bill (₹),Menu Dishes,Dish Prices (₹)
Varanasi,Assi Ghat,150.0,Hotel Alka,Budget,800,Brown Bread Bakery,380.0,"Poha, Thali, Momos","180, 107, 114"
Varanasi,Dashashwamedh Ghat,150.0,Hotel Alka,Budget,800,Brown Bread Bakery,380.0,"Poha, Thali, Momos","180, 107, 114"
Varanasi,Kashi Vishwanath Temple,150.0,Hotel Alka,Budget,800,Aum Cafe,418.0,"Biryani, Paneer Butter Masala, Momos","272, 219, 267"
Varanasi,Assi Ghat,150.0,Hotel Alka,Budget,800,Shree Cafe,625.0,"Poha, Fish Curry, Paneer Butter Masala","146, 85, 274"
Varanasi,Assi Ghat,150.0,Taj Ganges,Budget,800,Aum Cafe,418.0,"Biryani, Paneer Butter Masala, Momos","272, 219, 267"
Varanasi,Dashashwamedh Ghat,150.0,Taj Ganges,Budget,800,Aum Cafe,418.0,"Biryani, Paneer Butter Masala, Momos","272, 219, 267"
Varanasi,Dashashwamedh Ghat,150.0,BrijRama Palace,Mid-range,1500,Aum Cafe,418.0,"Biryani, Paneer Butter Masala, Momos","272, 219, 267"
Varanasi,Dashashwamedh Ghat,150.0,BrijRama Palace,Mid-range,1500,Shree Cafe,625.0,"Poha, Fish Curry, Paneer Butter Masala","146, 85, 274"
Jaisalmer,Patwon Ki Haveli,50.0,Suryagarh,Luxury,2500,Trio Restaurant,485.0,"Fish Curry, Upma, Poha","289, 109, 84"
Jaisalmer,Patwon Ki Haveli,50.0,Suryagarh,Luxury,2500,The Turban Restaurant,652.0,"Biryani, Paratha, Momos","100, 146, 300"
Jaisalmer,Jaisalmer Fort,50.0,Suryagarh,Luxury,2500,Trio Restaurant,485.0,"Fish Curry, Upma, Poha","289, 109, 84"
Jaisalmer,Gadisar Lake,50.0,Suryagarh,Luxury,2500,The Turban Restaurant,652.0,"Biryani, Paratha, Momos","100, 146, 300"
Jaisalmer,Jaisalmer Fort,50.0,Suryagarh,Luxury,2500,The Turban Restaurant,652.0,"Biryani, Paratha, Momos","100, 146, 300"
Jaisalmer,Gadisar Lake,50.0,Suryagarh,Luxury,2500,Trio Restaurant,485.0,"Fish Curry, Upma, Poha","289, 109, 84"
Leh,Leh Palace,150.0,Reenam Hotel,Mid-range,1500,Gesmo Restaurant,396.0,"Biryani, Idli, Paratha","296, 256, 169"
Leh,Shanti Stupa,50.0,The Grand Dragon,Budget,800,Gesmo Restaurant,396.0,"Biryani, Idli, Paratha","296, 256, 169"
Leh,Shanti Stupa,50.0,The Grand Dragon,Budget,800,Bon Appetit,427.0,"Fish Curry, Biryani, Paratha","181, 210, 158"
Leh,Pangong Lake,50.0,Reenam Hotel,Mid-range,1500,Lamayuru Restaurant,502.0,"Paratha, Biryani, Poha","174, 275, 85"
Leh,Magnetic Hill,50.0,The Grand Dragon,Budget,800,Bon Appetit,427.0,"Fish Curry, Biryani, Paratha","181, 210, 158"
Leh,Nubra Valley,100.0,The Grand Dragon,Budget,800,Lamayuru Restaurant,502.0,"Paratha, Biryani, Poha","174, 275, 85"
Leh,Nubra Valley,100.0,Hotel Omasila,Budget,800,Gesmo Restaurant,396.0,"Biryani, Idli, Paratha","296, 256, 169"
Leh,Thiksey Monastery,100.0,Hotel Omasila,Budget,800,Bon Appetit,427.0,"Fish Curry, Biryani, Paratha","181, 210, 158"
Leh,Pangong Lake,50.0,The Grand Dragon,Budget,800,Gesmo Restaurant,396.0,"Biryani, Idli, Paratha","296, 256, 169"
Leh,Magnetic Hill,50.0,Hotel Omasila,Budget,800,Bon Appetit,427.0,"Fish Curry, Biryani, Paratha","181, 210, 158"
Leh,Nubra Valley,100.0,Hotel Omasila,Budget,800,Lamayuru Restaurant,502.0,"Paratha, Biryani, Poha","174, 275, 85"
Leh,Nubra Valley,100.0,Reenam Hotel,Mid-range,1500,Lamayuru Restaurant,502.0,"Paratha, Biryani, Poha","174, 275, 85"
Leh,Pangong Lake,50.0,Hotel Omasila,Budget,800,Gesmo Restaurant,396.0,"Biryani, Idli, Paratha","296, 256, 169"
Leh,Leh Palace,150.0,Hotel Omasila,Budget,800,Bon Appetit,427.0,"Fish Curry, Biryani, Paratha","181, 210, 158"
Leh,Pangong Lake,50.0,Hotel Omasila,Budget,800,Bon Appetit,427.0,"Fish Curry, Biryani, Paratha","181, 210, 158"
Leh,Magnetic Hill,50.0,The Grand Dragon,Budget,800,Gesmo Restaurant,396.0,"Biryani, Idli, Paratha","296, 256, 169"
Leh,Shanti Stupa,50.0,Reenam Hotel,Mid-range,1500,Lamayuru Restaurant,502.0,"Paratha, Biryani, Poha","174, 275, 85"
Leh,Shanti Stupa,50.0,Hotel Omasila,Budget,800,Bon Appetit,427.0,"Fish Curry, Biryani, Paratha","181, 210, 158"
Leh,Magnetic Hill,50.0,Hotel Omasila,Budget,800,Lamayuru Restaurant,502.0,"Paratha, Biryani, Poha","174, 275, 85"
Leh,Magnetic Hill,50.0,Reenam Hotel,Mid-range,1500,Gesmo Restaurant,396.0,"Biryani, Idli, Paratha","296, 256, 169"
Kodaikanal,Pillar Rocks,100.0,Carlton Hotel,Mid-range,1500,Tava,418.0,"Poha, Biryani, Paneer Butter Masala","274, 108, 106"
Kodaikanal,Pillar Rocks,100.0,Carlton Hotel,Mid-range,1500,Astoria Veg,584.0,"Dosa, Idli, Poha","90, 242, 112"
Kodaikanal,Bryant Park,100.0,Hotel Jai,Mid-range,1500,Tava,418.0,"Poha, Biryani, Paneer Butter Masala","274, 108, 106"
Kodaikanal,Bryant Park,100.0,Kodai Resort Hotel,Budget,800,Tava,418.0,"Poha, Biryani, Paneer Butter Masala","274, 108, 106"
Kodaikanal,Bryant Park,100.0,Kodai Resort Hotel,Budget,800,Cloud Street,482.0,"Paratha, Poha, Thali","224, 162, 156"
Kodaikanal,Coaker’s Walk,100.0,Hotel Jai,Mid-range,1500,Astoria Veg,584.0,"Dosa, Idli, Poha","90, 242, 112"
Kodaikanal,Coaker’s Walk,100.0,Kodai Resort Hotel,Budget,800,Tava,418.0,"Poha, Biryani, Paneer Butter Masala","274, 108, 106"
Kodaikanal,Coaker’s Walk,100.0,Carlton Hotel,Mid-range,1500,Cloud Street,482.0,"Paratha, Poha, Thali","224, 162, 156"
Kodaikanal,Bryant Park,100.0,Hotel Jai,Mid-range,1500,Astoria Veg,584.0,"Dosa, Idli, Poha","90, 242, 112"
Kodaikanal,Pillar Rocks,100.0,Carlton Hotel,Mid-range,1500,Cloud Street,482.0,"Paratha, Poha, Thali","224, 162, 156"
Kodaikanal,Coaker’s Walk,100.0,Hotel Jai,Mid-range,1500,Cloud Street,482.0,"Paratha, Poha, Thali","224, 162, 156"
Kodaikanal,Bryant Park,100.0,Carlton Hotel,Mid-range,1500,Astoria Veg,584.0,"Dosa, Idli, Poha","90, 242, 112"
Kodaikanal,Pillar Rocks,100.0,Kodai Resort Hotel,Budget,800,Cloud Street,482.0,"Paratha, Poha, Thali","224, 162, 156"
Kodaikanal,Coaker’s Walk,100.0,Kodai Resort Hotel,Budget,800,Cloud Street,482.0,"Paratha, Poha, Thali","224, 162, 156"
Kodaikanal,Coaker’s Walk,100.0,Carlton Hotel,Mid-range,1500,Astoria Veg,584.0,"Dosa, Idli, Poha","90, 242, 112"
Kodaikanal,Bryant Park,100.0,Hotel Jai,Mid-range,1500,Cloud Street,482.0,"Paratha, Poha, Thali","224, 162, 156"
Kodaikanal,Bryant Park,100.0,Carlton Hotel,Mid-range,1500,Tava,418.0,"Poha, Biryani, Paneer Butter Masala","274, 108, 106"
Kodaikanal,Pillar Rocks,100.0,Hotel Jai,Mid-range,1500,Cloud Street,482.0,"Paratha, Poha, Thali","224, 162, 156"
Kodaikanal,Bryant Park,100.0,Carlton Hotel,Mid-range,1500,Cloud Street,482.0,"Paratha, Poha, Thali","224, 162, 156"
Kodaikanal,Coaker’s Walk,100.0,Kodai Resort Hotel,Budget,800,Astoria Veg,584.0,"Dosa, Idli, Poha","90, 242, 112"
Munnar,Kundala Lake,100.0,Spice Tree Munnar,Luxury,2500,Rochas Restaurant,660.0,"Upma, Paratha, Thali","119, 195, 168"
Munnar,Eravikulam National Park,100.0,Fog Resort & Spa,Budget,800,Hotel Sri Nivas,460.0,"Idli, Paneer Butter Masala, Upma","67, 144, 247"
Munnar,Mattupetty Dam,100.0,Spice Tree Munnar,Luxury,2500,Hotel Sri Nivas,460.0,"Idli, Paneer Butter Masala, Upma","67, 144, 247"
Munnar,Echo Point,100.0,Windermere Estate,Luxury,2500,Guru's Restaurant,632.0,"Paratha, Idli, Dosa","227, 116, 112"
Munnar,Munnar Tea Gardens,100.0,The Panoramic Getaway,Mid-range,1500,Hotel Sri Nivas,460.0,"Idli, Paneer Butter Masala, Upma","67, 144, 247"
Munnar,Eravikulam National Park,100.0,Windermere Estate,Luxury,2500,Rochas Restaurant,660.0,"Upma, Paratha, Thali","119, 195, 168"
Munnar,Munnar Tea Gardens,100.0,The Panoramic Getaway,Mid-range,1500,Guru's Restaurant,632.0,"Paratha, Idli, Dosa","227, 116, 112"
Munnar,Echo Point,100.0,The Panoramic Getaway,Mid-range,1500,Saravana Bhavan,292.0,"Momos, Dosa, Thali","296, 113, 143"
Munnar,Echo Point,100.0,Spice Tree Munnar,Luxury,2500,Rapsy Restaurant,456.0,"Thali, Fish Curry, Upma","78, 177, 130"
Munnar,Echo Point,100.0,Fragrant Nature Munnar,Budget,800,Guru's Restaurant,632.0,"Paratha, Idli, Dosa","227, 116, 112"
Munnar,Munnar Tea Gardens,100.0,Windermere Estate,Luxury,2500,Guru's Restaurant,632.0,"Paratha, Idli, Dosa","227, 116, 112"
Munnar,Mattupetty Dam,100.0,Windermere Estate,Luxury,2500,Hotel Sri Nivas,460.0,"Idli, Paneer Butter Masala, Upma","67, 144, 247"
Munnar,Mattupetty Dam,100.0,Fog Resort & Spa,Budget,800,Saravana Bhavan,292.0,"Momos, Dosa, Thali","296, 113, 143"
Munnar,Attukad Waterfalls,100.0,Fragrant Nature Munnar,Budget,800,Rapsy Restaurant,456.0,"Thali, Fish Curry, Upma","78, 177, 130"
Munnar,Echo Point,100.0,The Panoramic Getaway,Mid-range,1500,Hotel Sri Nivas,460.0,"Idli, Paneer Butter Masala, Upma","67, 144, 247"
Munnar,Kundala Lake,100.0,Spice Tree Munnar,Luxury,2500,Rapsy Restaurant,456.0,"Thali, Fish Curry, Upma","78, 177, 130"
Munnar,Munnar Tea Gardens,100.0,Windermere Estate,Luxury,2500,Rochas Restaurant,660.0,"Upma, Paratha, Thali","119, 195, 168"
Munnar,Eravikulam National Park,100.0,Fragrant Nature Munnar,Budget,800,Saravana Bhavan,292.0,"Momos, Dosa, Thali","296, 113, 143"
Munnar,Attukad Waterfalls,100.0,Fragrant Nature Munnar,Budget,800,Hotel Sri Nivas,460.0,"Idli, Paneer Butter Masala, Upma","67, 144, 247"
Munnar,Echo Point,100.0,Spice Tree Munnar,Luxury,2500,Rochas Restaurant,660.0,"Upma, Paratha, Thali","119, 195, 168"
Mysuru,Mysore Zoo,100.0,Country Inn & Suites by Radisson,Luxury,2500,Depth N Green,592.0,"Momos, Fish Curry, Upma","91, 125, 197"
Mysuru,Philomena's Church,100.0,Fortune JP Palace,Luxury,2500,Vinayaka Mylari,661.0,"Poha, Biryani, Fish Curry","298, 218, 173"
Mysuru,Brindavan Gardens,150.0,Lalitha Mahal Palace Hotel,Budget,800,Depth N Green,592.0,"Momos, Fish Curry, Upma","91, 125, 197"
Mysuru,Brindavan Gardens,150.0,Lalitha Mahal Palace Hotel,Budget,800,Gokulam House,286.0,"Dosa, Biryani, Idli","162, 130, 155"
Mysuru,Mysore Palace,150.0,Country Inn & Suites by Radisson,Luxury,2500,Green Leaf Food Court,369.0,"Poha, Fish Curry, Thali","122, 176, 290"
Mysuru,Mysore Palace,150.0,Radisson Blu Plaza Hotel Mysore,Luxury,2500,Gokulam House,286.0,"Dosa, Biryani, Idli","162, 130, 155"
Mysuru,Philomena's Church,100.0,Radisson Blu Plaza Hotel Mysore,Luxury,2500,Vinayaka Mylari,661.0,"Poha, Biryani, Fish Curry","298, 218, 173"
Mysuru,Chamundi Hills,100.0,Radisson Blu Plaza Hotel Mysore,Luxury,2500,Vinayaka Mylari,661.0,"Poha, Biryani, Fish Curry","298, 218, 173"
Mysuru,Mysore Palace,150.0,Lalitha Mahal Palace Hotel,Budget,800,Green Leaf Food Court,369.0,"Poha, Fish Curry, Thali","122, 176, 290"
Mysuru,Mysore Zoo,100.0,Fortune JP Palace,Luxury,2500,Gokulam House,286.0,"Dosa, Biryani, Idli","162, 130, 155"
Mysuru,Karanji Lake,50.0,Country Inn & Suites by Radisson,Luxury,2500,Vinayaka Mylari,661.0,"Poha, Biryani, Fish Curry","298, 218, 173"
Mysuru,Karanji Lake,50.0,Lalitha Mahal Palace Hotel,Budget,800,Green Leaf Food Court,369.0,"Poha, Fish Curry, Thali","122, 176, 290"
Mysuru,Karanji Lake,50.0,Country Inn & Suites by Radisson,Luxury,2500,Green Leaf Food Court,369.0,"Poha, Fish Curry, Thali","122, 176, 290"
Mysuru,Mysore Palace,150.0,Radisson Blu Plaza Hotel Mysore,Luxury,2500,Vinayaka Mylari,661.0,"Poha, Biryani, Fish Curry","298, 218, 173"
Mysuru,Philomena's Church,100.0,Radisson Blu Plaza Hotel Mysore,Luxury,2500,Depth N Green,592.0,"Momos, Fish Curry, Upma","91, 125, 197"
Mysuru,Brindavan Gardens,150.0,Radisson Blu Plaza Hotel Mysore,Luxury,2500,Depth N Green,592.0,"Momos, Fish Curry, Upma","91, 125, 197"
Mysuru,Mysore Zoo,100.0,Lalitha Mahal Palace Hotel,Budget,800,Depth N Green,592.0,"Momos, Fish Curry, Upma","91, 125, 197"
Mysuru,Mysore Palace,150.0,Country Inn & Suites by Radisson,Luxury,2500,Vinayaka Mylari,661.0,"Poha, Biryani, Fish Curry","298, 218, 173"
Mysuru,Philomena's Church,100.0,Country Inn & Suites by Radisson,Luxury,2500,Gokulam House,286.0,"Dosa, Biryani, Idli","162, 130, 155"
Mysuru,Brindavan Gardens,150.0,Lalitha Mahal Palace Hotel,Budget,800,Green Leaf Food Court,369.0,"Poha, Fish Curry, Thali","122, 176, 290"
Wayanad,Lakkidi View Point,150.0,The Windflower Resort & Spa Vythiri,Mid-range,1500,The Coffee Grove Restaurant,277.0,"Roti, Idli, Fish Curry","71, 233, 78"
Wayanad,Banasura Sagar Dam,150.0,Lakkidi Village Resort,Luxury,2500,The Coffee Grove Restaurant,277.0,"Roti, Idli, Fish Curry","71, 233, 78"
Wayanad,Banasura Sagar Dam,150.0,Lakkidi Village Resort,Luxury,2500,1980's A Nostalgic Restaurant,608.0,"Momos, Roti, Biryani","163, 184, 83"
Wayanad,Lakkidi View Point,150.0,Vythiri Resort,Luxury,2500,ClayHut,274.0,"Biryani, Fish Curry, Upma","219, 151, 257"
Wayanad,Banasura Sagar Dam,150.0,Wayanad Wild,Budget,800,Wayanad Kitchen,290.0,"Idli, Paneer Butter Masala, Fish Curry","293, 266, 85"
Wayanad,Soochipara Waterfalls,150.0,Wayanad Wild,Budget,800,Wayanad Kitchen,290.0,"Idli, Paneer Butter Masala, Fish Curry","293, 266, 85"
Wayanad,Lakkidi View Point,150.0,Vythiri Resort,Luxury,2500,Jungle Restaurant,409.0,"Dosa, Poha, Biryani","202, 91, 78"
Wayanad,Lakkidi View Point,150.0,Arayal Resorts,Mid-range,1500,1980's A Nostalgic Restaurant,608.0,"Momos, Roti, Biryani","163, 184, 83"
Wayanad,Soochipara Waterfalls,150.0,Lakkidi Village Resort,Luxury,2500,Wayanad Kitchen,290.0,"Idli, Paneer Butter Masala, Fish Curry","293, 266, 85"
Wayanad,Chembra Peak,200.0,Arayal Resorts,Mid-range,1500,The Coffee Grove Restaurant,277.0,"Roti, Idli, Fish Curry","71, 233, 78"
Wayanad,Chembra Peak,200.0,Vythiri Resort,Luxury,2500,1980's A Nostalgic Restaurant,608.0,"Momos, Roti, Biryani","163, 184, 83"
Wayanad,Banasura Sagar Dam,150.0,The Windflower Resort & Spa Vythiri,Mid-range,1500,The Coffee Grove Restaurant,277.0,"Roti, Idli, Fish Curry","71, 233, 78"
Wayanad,Soochipara Waterfalls,150.0,Wayanad Wild,Budget,800,Jungle Restaurant,409.0,"Dosa, Poha, Biryani","202, 91, 78"
Wayanad,Lakkidi View Point,150.0,Wayanad Wild,Budget,800,Jungle Restaurant,409.0,"Dosa, Poha, Biryani","202, 91, 78"
Wayanad,Lakkidi View Point,150.0,Arayal Resorts,Mid-range,1500,Jungle Restaurant,409.0,"Dosa, Poha, Biryani","202, 91, 78"
Wayanad,Lakkidi View Point,150.0,Wayanad Wild,Budget,800,1980's A Nostalgic Restaurant,608.0,"Momos, Roti, Biryani","163, 184, 83"
Wayanad,Chembra Peak,200.0,Arayal Resorts,Mid-range,1500,1980's A Nostalgic Restaurant,608.0,"Momos, Roti, Biryani","163, 184, 83"
Wayanad,Banasura Sagar Dam,150.0,Vythiri Resort,Luxury,2500,The Coffee Grove Restaurant,277.0,"Roti, Idli, Fish Curry","71, 233, 78"
Wayanad,Chembra Peak,200.0,Vythiri Resort,Luxury,2500,ClayHut,274.0,"Biryani, Fish Curry, Upma","219, 151, 257"
Wayanad,Chembra Peak,200.0,Vythiri Resort,Luxury,2500,The Coffee Grove Restaurant,277.0,"Roti, Idli, Fish Curry","71, 233, 78"
Lonavala,Tiger Point,200.0,The Lagoona Resort,Budget,800,German Bakery,554.0,"Momos, Paratha, Upma","265, 131, 132"
Lonavala,Karla Caves,200.0,The Machan,Budget,800,Rama Krishna Veg & Non Veg,346.0,"Dosa, Fish Curry, Momos","169, 213, 281"
Lonavala,Duke's Nose,100.0,The Machan,Budget,800,Magnum Opus Restaurant,538.0,"Momos, Paneer Butter Masala, Fish Curry","110, 273, 134"
Lonavala,Karla Caves,200.0,Rhythm Lonavala,Luxury,2500,Rama Krishna Veg & Non Veg,346.0,"Dosa, Fish Curry, Momos","169, 213, 281"
Lonavala,Visapur Fort,100.0,Rhythm Lonavala,Luxury,2500,Magnum Opus Restaurant,538.0,"Momos, Paneer Butter Masala, Fish Curry","110, 273, 134"
Lonavala,Visapur Fort,100.0,The Lagoona Resort,Budget,800,Lonavala Restaurant,590.0,"Paneer Butter Masala, Fish Curry, Roti","76, 293, 273"
Lonavala,Karla Caves,200.0,The Machan,Budget,800,Cafe 24,505.0,"Paratha, Dosa, Fish Curry","117, 154, 278"
Lonavala,Bhushi Dam,200.0,Della Resorts,Mid-range,1500,Magnum Opus Restaurant,538.0,"Momos, Paneer Butter Masala, Fish Curry","110, 273, 134"
Lonavala,Lonavala Lake,200.0,Della Resorts,Mid-range,1500,Lonavala Restaurant,590.0,"Paneer Butter Masala, Fish Curry, Roti","76, 293, 273"
Lonavala,Bhushi Dam,200.0,Rhythm Lonavala,Luxury,2500,German Bakery,554.0,"Momos, Paratha, Upma","265, 131, 132"
Lonavala,Bhushi Dam,200.0,The Lagoona Resort,Budget,800,Lonavala Restaurant,590.0,"Paneer Butter Masala, Fish Curry, Roti","76, 293, 273"
Lonavala,Duke's Nose,100.0,Fariyas Resort Lonavala,Mid-range,1500,German Bakery,554.0,"Momos, Paratha, Upma","265, 131, 132"
Lonavala,Visapur Fort,100.0,Rhythm Lonavala,Luxury,2500,Lonavala Restaurant,590.0,"Paneer Butter Masala, Fish Curry, Roti","76, 293, 273"
Lonavala,Lonavala Lake,200.0,Fariyas Resort Lonavala,Mid-range,1500,Lonavala Restaurant,590.0,"Paneer Butter Masala, Fish Curry, Roti","76, 293, 273"
Lonavala,Bhushi Dam,200.0,The Lagoona Resort,Budget,800,German Bakery,554.0,"Momos, Paratha, Upma","265, 131, 132"
Lonavala,Tiger Point,200.0,The Machan,Budget,800,German Bakery,554.0,"Momos, Paratha, Upma","265, 131, 132"
Lonavala,Bhushi Dam,200.0,Rhythm Lonavala,Luxury,2500,Magnum Opus Restaurant,538.0,"Momos, Paneer Butter Masala, Fish Curry","110, 273, 134"
Lonavala,Karla Caves,200.0,The Lagoona Resort,Budget,800,Lonavala Restaurant,590.0,"Paneer Butter Masala, Fish Curry, Roti","76, 293, 273"
Lonavala,Lonavala Lake,200.0,The Machan,Budget,800,Rama Krishna Veg & Non Veg,346.0,"Dosa, Fish Curry, Momos","169, 213, 281"
Lonavala,Duke's Nose,100.0,Rhythm Lonavala,Luxury,2500,Cafe 24,505.0,"Paratha, Dosa, Fish Curry","117, 154, 278"
Tawang,Jaswant Garh,100.0,Hotel The Oak,Budget,800,The Blue Pine,425.0,"Paneer Butter Masala, Paratha, Dosa","91, 220, 139"
Tawang,Jaswant Garh,100.0,Hotel The Oak,Budget,800,Orange Restaurant,377.0,"Dosa, Fish Curry, Upma","236, 275, 256"
Tawang,Sela Pass,50.0,Hotel Monyul,Budget,800,Zombala Restaurant,263.0,"Fish Curry, Biryani, Momos","265, 95, 261"
Tawang,Tawang Monastery,50.0,Hotel Tawang View,Luxury,2500,Dragon Restaurant,602.0,"Fish Curry, Poha, Paratha","234, 178, 77"
Tawang,Tawang Monastery,50.0,Dolma Hotel,Mid-range,1500,Zombala Restaurant,263.0,"Fish Curry, Biryani, Momos","265, 95, 261"
Tawang,Taktsang Gompa,0.0,Hotel Monyul,Budget,800,Zombala Restaurant,263.0,"Fish Curry, Biryani, Momos","265, 95, 261"
Tawang,Sela Pass,50.0,Hotel Monyul,Budget,800,Dragon Restaurant,602.0,"Fish Curry, Poha, Paratha","234, 178, 77"
Tawang,Madhuri Lake (Sangestar Tso),50.0,Dolma Hotel,Mid-range,1500,Dragon Restaurant,602.0,"Fish Curry, Poha, Paratha","234, 178, 77"
Tawang,Taktsang Gompa,0.0,Dolma Hotel,Mid-range,1500,Zombala Restaurant,263.0,"Fish Curry, Biryani, Momos","265, 95, 261"
Tawang,Jaswant Garh,100.0,Hotel Gakyi Khang Zhang,Budget,800,Orange Restaurant,377.0,"Dosa, Fish Curry, Upma","236, 275, 256"
Tawang,Nuranang Falls,0.0,Hotel Monyul,Budget,800,Orange Restaurant,377.0,"Dosa, Fish Curry, Upma","236, 275, 256"
Tawang,Tawang Monastery,50.0,Dolma Hotel,Mid-range,1500,Taste of Tawang,569.0,"Fish Curry, Roti, Biryani","234, 106, 148"
Tawang,Tawang Monastery,50.0,Hotel The Oak,Budget,800,Dragon Restaurant,602.0,"Fish Curry, Poha, Paratha","234, 178, 77"
Tawang,Taktsang Gompa,0.0,Hotel The Oak,Budget,800,The Blue Pine,425.0,"Paneer Butter Masala, Paratha, Dosa","91, 220, 139"
Tawang,Jaswant Garh,100.0,Hotel Monyul,Budget,800,The Blue Pine,425.0,"Paneer Butter Masala, Paratha, Dosa","91, 220, 139"
